"Sujeitos","Itens","Ant","Verbo","RT","Pos","Estudo"
"1","A","NP","PL",480,"p7","Costa (2013)"
"2","A","NP","PL",328,"p7","Costa (2013)"
"3","A","NP","PL",1128,"p7","Costa (2013)"
"4","A","NP","PL",576,"p7","Costa (2013)"
"5","A","NP","PL",800,"p7","Costa (2013)"
"6","A","NP","PL",751,"p7","Costa (2013)"
"7","A","NP","PL",736,"p7","Costa (2013)"
"8","A","NP","PL",1576,"p7","Costa (2013)"
"9","A","NP","PL",1112,"p7","Costa (2013)"
"10","A","NP","PL",536,"p7","Costa (2013)"
"11","A","NP","PL",664,"p7","Costa (2013)"
"12","A","NP","PL",1064,"p7","Costa (2013)"
"13","A","NP","PL",920,"p7","Costa (2013)"
"14","A","NP","PL",2280,"p7","Costa (2013)"
"15","A","NP","PL",264,"p7","Costa (2013)"
"16","A","NP","PL",568,"p7","Costa (2013)"
"17","A","NP","PL",1208,"p7","Costa (2013)"
"18","A","NP","PL",920,"p7","Costa (2013)"
"19","A","NP","PL",1128,"p7","Costa (2013)"
"20","A","NP","PL",872,"p7","Costa (2013)"
"21","A","NP","PL",704,"p7","Costa (2013)"
"22","A","NP","PL",616,"p7","Costa (2013)"
"23","A","NP","PL",448,"p7","Costa (2013)"
"24","A","NP","PL",464,"p7","Costa (2013)"
"25","A","NP","PL",328,"p7","Costa (2013)"
"26","A","NP","PL",480,"p7","Costa (2013)"
"27","A","NP","PL",400,"p7","Costa (2013)"
"28","A","NP","PL",528,"p7","Costa (2013)"
"29","A","NP","PL",488,"p7","Costa (2013)"
"30","A","NP","PL",336,"p7","Costa (2013)"
"31","A","NP","PL",1392,"p7","Costa (2013)"
"32","A","NP","PL",152,"p7","Costa (2013)"
"1","B","NP","PL",560,"p7","Costa (2013)"
"2","B","NP","PL",2312,"p7","Costa (2013)"
"3","B","NP","PL",983,"p7","Costa (2013)"
"4","B","NP","PL",368,"p7","Costa (2013)"
"5","B","NP","PL",407,"p7","Costa (2013)"
"6","B","NP","PL",696,"p7","Costa (2013)"
"7","B","NP","PL",480,"p7","Costa (2013)"
"8","B","NP","PL",1632,"p7","Costa (2013)"
"9","B","NP","PL",424,"p7","Costa (2013)"
"10","B","NP","PL",488,"p7","Costa (2013)"
"11","B","NP","PL",824,"p7","Costa (2013)"
"12","B","NP","PL",600,"p7","Costa (2013)"
"13","B","NP","PL",816,"p7","Costa (2013)"
"14","B","NP","PL",608,"p7","Costa (2013)"
"15","B","NP","PL",912,"p7","Costa (2013)"
"16","B","NP","PL",688,"p7","Costa (2013)"
"17","B","NP","PL",760,"p7","Costa (2013)"
"18","B","NP","PL",712,"p7","Costa (2013)"
"19","B","NP","PL",464,"p7","Costa (2013)"
"20","B","NP","PL",696,"p7","Costa (2013)"
